,event,datetime,opponent,median_ticket_price,date,time
72,Chicago Cubs at Washington Nationals,2019-05-17T19:05:00,Chicago Cubs,111,2019-05-17,19:05
73,Chicago Cubs at Washington Nationals,2019-05-18T19:15:00,Chicago Cubs,120,2019-05-18,19:15
74,Chicago Cubs at Washington Nationals,2019-05-19T19:08:00,Chicago Cubs,84,2019-05-19,19:08
75,Washington Nationals at New York Mets,2019-05-20T19:10:00,New York Mets,46,2019-05-20,19:10
76,Washington Nationals at New York Mets,2019-05-21T19:10:00,New York Mets,36,2019-05-21,19:10
77,Washington Nationals at New York Mets,2019-05-22T19:10:00,New York Mets,42,2019-05-22,19:10
78,Washington Nationals at New York Mets,2019-05-23T12:10:00,New York Mets,35,2019-05-23,12:10
79,Miami Marlins at Washington Nationals,2019-05-24T19:05:00,Miami Marlins,66,2019-05-24,19:05
80,Miami Marlins at Washington Nationals,2019-05-25T16:05:00,Miami Marlins,73,2019-05-25,16:05
81,Miami Marlins at Washington Nationals,2019-05-26T13:35:00,Miami Marlins,67,2019-05-26,13:35
82,Miami Marlins at Washington Nationals,2019-05-27T13:05:00,Miami Marlins,75,2019-05-27,13:05
83,Washington Nationals at Atlanta Braves,2019-05-28T19:20:00,Atlanta Braves,77,2019-05-28,19:20
84,Washington Nationals at Atlanta Braves,2019-05-29T19:20:00,Atlanta Braves,68,2019-05-29,19:20
85,Washington Nationals at Cincinnati Reds,2019-05-31T19:10:00,Cincinnati Reds,77,2019-05-31,19:10
86,Washington Nationals at Cincinnati Reds,2019-06-01T16:10:00,Cincinnati Reds,91,2019-06-01,16:10
87,Washington Nationals at Cincinnati Reds,2019-06-02T13:10:00,Cincinnati Reds,69,2019-06-02,13:10
88,Chicago White Sox at Washington Nationals,2019-06-04T19:05:00,Chicago White Sox,68,2019-06-04,19:05
89,Chicago White Sox at Washington Nationals,2019-06-05T13:05:00,Chicago White Sox,81,2019-06-05,13:05
90,Washington Nationals at San Diego Padres,2019-06-06T19:10:00,San Diego Padres,68,2019-06-06,19:10
91,Washington Nationals at San Diego Padres,2019-06-07T19:10:00,San Diego Padres,78,2019-06-07,19:10
92,Washington Nationals at San Diego Padres,2019-06-08T19:10:00,San Diego Padres,75,2019-06-08,19:10
